PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
46500.0,K46+500.00,4.467324,-75.602108,2307.4,1396.7,910.7
47000.0,K47+000.00,4.468433,-75.606475,2176.4,1401.5,774.9
47500.0,K47+500.00,4.469543,-75.610843,2146.3,1406.3,740.0
48000.0,K48+000.00,4.470653,-75.61521,2199.8,1411.1,788.7
48500.0,K48+500.00,4.471763,-75.619578,2275.8,1415.9,859.9
49000.0,K49+000.00,4.472872,-75.623945,2469.3,1420.7,1048.6
49500.0,K49+500.00,4.473982,-75.628312,2307.4,1425.5,881.9
50000.0,K50+000.00,4.475092,-75.63268,2039.8,1430.3,609.5
50500.0,K50+500.00,4.476201,-75.637047,1847.5,1435.1,412.4
51000.0,K51+000.00,4.477311,-75.641415,1705.7,1439.9,265.8
51500.0,K51+500.00,4.47842,-75.645782,1585.1,1444.7,140.4
52000.0,K52+000.00,4.47953,-75.65015,1468.7,1449.5,19.2
52211.8,K52+211.80,4.48,-75.652,1451.5,1451.5,-0.0
