PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
49146.7,K49+146.68,4.473198,-75.625226,2480.7,1422.1,1058.5
49181.5,K49+181.51,4.473275,-75.62553,2474.5,1422.5,1052.1
49216.3,K49+216.34,4.473353,-75.625835,2477.7,1422.8,1054.9
49251.2,K49+251.17,4.47343,-75.626139,2476.8,1423.1,1053.6
49286.0,K49+286.00,4.473507,-75.626443,2453.4,1423.5,1029.9
49320.8,K49+320.83,4.473584,-75.626747,2431.1,1423.8,1007.3
49355.7,K49+355.67,4.473662,-75.627052,2408.5,1424.1,984.4
49390.5,K49+390.50,4.473739,-75.627356,2391.9,1424.5,967.4
49425.3,K49+425.33,4.473816,-75.62766,2368.1,1424.8,943.3
49460.2,K49+460.16,4.473894,-75.627964,2345.3,1425.1,920.2
49495.0,K49+494.99,4.473971,-75.628269,2307.4,1425.5,881.9
49529.8,K49+529.82,4.474048,-75.628573,2276.5,1425.8,850.7
49564.7,K49+564.65,4.474126,-75.628877,2249.7,1426.1,823.6
49599.5,K49+599.48,4.474203,-75.629181,2235.7,1426.5,809.2
49634.3,K49+634.31,4.47428,-75.629486,2223.6,1426.8,796.8
49669.1,K49+669.15,4.474357,-75.62979,2209.7,1427.1,782.6
49704.0,K49+703.98,4.474435,-75.630094,2197.9,1427.5,770.5
49738.8,K49+738.81,4.474512,-75.630398,2185.2,1427.8,757.4
49773.6,K49+773.64,4.474589,-75.630703,2152.9,1428.1,724.8
49808.5,K49+808.47,4.474667,-75.631007,2135.8,1428.5,707.3
49843.3,K49+843.30,4.474744,-75.631311,2119.5,1428.8,690.7
49878.1,K49+878.13,4.474821,-75.631615,2101.3,1429.1,672.2
49913.0,K49+912.96,4.474899,-75.63192,2085.4,1429.5,656.0
49947.8,K49+947.79,4.474976,-75.632224,2069.2,1429.8,639.4
49982.6,K49+982.63,4.475053,-75.632528,2054.9,1430.1,624.8
50017.5,K50+017.46,4.47513,-75.632832,2039.8,1430.5,609.4
50052.3,K50+052.29,4.475208,-75.633137,2021.9,1430.8,591.1
50087.1,K50+087.12,4.475285,-75.633441,2008.3,1431.1,577.1
50121.9,K50+121.95,4.475362,-75.633745,1987.3,1431.5,555.9
50156.8,K50+156.78,4.47544,-75.634049,1949.0,1431.8,517.2
50191.6,K50+191.61,4.475517,-75.634354,1934.3,1432.1,502.2
50226.4,K50+226.44,4.475594,-75.634658,1923.7,1432.5,491.2
50261.3,K50+261.27,4.475672,-75.634962,1916.6,1432.8,483.8
50296.1,K50+296.10,4.475749,-75.635266,1907.0,1433.1,473.8
50330.9,K50+330.94,4.475826,-75.635571,1896.4,1433.5,462.9
50365.8,K50+365.77,4.475903,-75.635875,1885.4,1433.8,451.6
50400.6,K50+400.60,4.475981,-75.636179,1875.4,1434.1,441.3
50435.4,K50+435.43,4.476058,-75.636483,1864.9,1434.5,430.5
50470.3,K50+470.26,4.476135,-75.636788,1855.6,1434.8,420.8
50505.1,K50+505.09,4.476213,-75.637092,1843.0,1435.1,407.9
50539.9,K50+539.92,4.47629,-75.637396,1838.0,1435.5,402.6
50574.8,K50+574.75,4.476367,-75.6377,1824.3,1435.8,388.5
50609.6,K50+609.58,4.476444,-75.638005,1814.1,1436.1,377.9
50644.4,K50+644.42,4.476522,-75.638309,1806.6,1436.5,370.1
50679.2,K50+679.25,4.476599,-75.638613,1786.4,1436.8,349.6
50714.1,K50+714.08,4.476676,-75.638917,1769.7,1437.1,332.5
50748.9,K50+748.91,4.476754,-75.639222,1760.1,1437.5,322.6
50783.7,K50+783.74,4.476831,-75.639526,1751.0,1437.8,313.2
50818.6,K50+818.57,4.476908,-75.63983,1745.3,1438.1,307.1
50853.4,K50+853.40,4.476986,-75.640134,1743.9,1438.5,305.4
50888.2,K50+888.23,4.477063,-75.640439,1732.6,1438.8,293.8
50923.1,K50+923.06,4.47714,-75.640743,1714.6,1439.1,275.4
50957.9,K50+957.90,4.477217,-75.641047,1707.4,1439.5,268.0
50992.7,K50+992.73,4.477295,-75.641351,1705.7,1439.8,265.9
51027.6,K51+027.56,4.477372,-75.641656,1694.5,1440.1,254.3
51062.4,K51+062.39,4.477449,-75.64196,1699.1,1440.5,258.6
51097.2,K51+097.22,4.477527,-75.642264,1697.9,1440.8,257.1
51132.1,K51+132.05,4.477604,-75.642568,1683.5,1441.1,242.4
51166.9,K51+166.88,4.477681,-75.642873,1664.8,1441.5,223.4
51201.7,K51+201.71,4.477759,-75.643177,1655.3,1441.8,213.4
51236.5,K51+236.54,4.477836,-75.643481,1641.5,1442.2,199.3
51271.4,K51+271.38,4.477913,-75.643785,1632.3,1442.5,189.8
51306.2,K51+306.21,4.47799,-75.64409,1629.5,1442.8,186.7
51341.0,K51+341.04,4.478068,-75.644394,1619.3,1443.2,176.1
51375.9,K51+375.87,4.478145,-75.644698,1609.0,1443.5,165.5
51410.7,K51+410.70,4.478222,-75.645002,1602.1,1443.8,158.3
51445.5,K51+445.53,4.4783,-75.645307,1597.7,1444.2,153.5
51480.4,K51+480.36,4.478377,-75.645611,1591.5,1444.5,147.0
51515.2,K51+515.19,4.478454,-75.645915,1585.1,1444.8,140.3
51550.0,K51+550.02,4.478531,-75.646219,1570.5,1445.2,125.4
51584.9,K51+584.86,4.478609,-75.646524,1567.6,1445.5,122.1
51619.7,K51+619.69,4.478686,-75.646828,1571.9,1445.8,126.1
51654.5,K51+654.52,4.478763,-75.647132,1557.0,1446.2,110.8
51689.3,K51+689.35,4.478841,-75.647436,1548.4,1446.5,101.9
51724.2,K51+724.18,4.478918,-75.647741,1547.4,1446.8,100.5
51759.0,K51+759.01,4.478995,-75.648045,1547.1,1447.2,99.9
51793.8,K51+793.84,4.479073,-75.648349,1524.1,1447.5,76.6
51828.7,K51+828.67,4.47915,-75.648653,1514.4,1447.8,66.5
51863.5,K51+863.50,4.479227,-75.648958,1506.3,1448.2,58.2
51898.3,K51+898.34,4.479304,-75.649262,1501.2,1448.5,52.7
51933.2,K51+933.17,4.479382,-75.649566,1496.7,1448.8,47.9
51968.0,K51+968.00,4.479459,-75.64987,1473.7,1449.2,24.5
52002.8,K52+002.83,4.479536,-75.650174,1468.7,1449.5,19.2
52037.7,K52+037.66,4.479614,-75.650479,1461.7,1449.8,11.9
52072.5,K52+072.49,4.479691,-75.650783,1461.1,1450.2,11.0
52107.3,K52+107.32,4.479768,-75.651087,1458.9,1450.5,8.4
52142.2,K52+142.15,4.479845,-75.651391,1457.7,1450.8,6.8
52177.0,K52+176.98,4.479923,-75.651696,1454.1,1451.2,2.9
52211.8,K52+211.82,4.48,-75.652,1451.5,1451.5,-0.0
