departamento;municipio;divipola;entidad;tramo;pr;fallecidos;latitud;longitud;gizscore;gipvalue;nombre
NARIÑO;PASTO;52001;INVIAS-OTROS;Pasto - Sandona - Yacuanquer;6;2;1.235623;-77.300487;2.33129;0.019738;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;;23;12;3.547273;-76.294634;2.77157;0.005579;
CAUCA;CORINTO;19212;INVIAS-OTROS;Palmira - El Palo;38;13;3.178586;-76.257139;2.143707;0.032056;
VALLE DEL CAUCA;FLORIDA;76275;INVIAS-OTROS;Palmira - El Palo;52;9;3.295063;-76.229263;1.811623;0.070044;
VALLE DEL CAUCA;PRADERA;76563;INVIAS-OTROS;Palmira - El Palo;68;1;3.403672;-76.238295;2.352995;0.018623;
VALLE DEL CAUCA;PRADERA;76563;INVIAS-OTROS;Palmira - El Palo;70;16;3.418195;-76.242316;2.352995;0.018623;
VALLE DEL CAUCA;PRADERA;76563;INVIAS-OTROS;Palmira - El Palo;74;12;3.454401;-76.242808;2.699465;0.006945;
VALLE DEL CAUCA;CANDELARIA;76130;INVIAS-OTROS;Candelaria-Buga;37;4;3.421848;-76.350184;4.163861;0.000031;
VALLE DEL CAUCA;CANDELARIA;76130;INVIAS-OTROS;Santander de Quilichao-Candelaria;35;26;3.405531;-76.35194;5.073733;0;
VALLE DEL CAUCA;CANDELARIA;76130;INVIAS-OTROS;Santander de Quilichao-Candelaria;33;9;3.387203;-76.352804;1.811623;0.070044;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;El Cerrito - Obando - Cali;sd;12;3.57099;-76.408845;2.699465;0.006945;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;;26;7;3.563894;-76.290876;2.77157;0.005579;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;;27;14;3.580975;-76.281778;3.291359;0.000997;
META;VILLAVICENCIO;50001;INVIAS-OTROS;Granada - Villavicencio;72;12;4.102055;-73.658598;2.699465;0.006945;
META;VILLAVICENCIO;50001;ANI;Granada - Villavicencio;70;9;4.086963;-73.673234;1.811623;0.070044;IP Malla Vial del Meta
META;ACACÍAS;50006;ANI;Granada - Villavicencio;48;17;3.975073;-73.767709;4.179201;0.000029;IP Malla Vial del Meta
META;GUAMAL;50318;ANI;Granada - Villavicencio;34;9;3.846129;-73.763028;1.811623;0.070044;IP Malla Vial del Meta
META;CUBARRAL;50223;ANI;Granada - Villavicencio;24;9;3.765605;-73.728621;1.811623;0.070044;IP Malla Vial del Meta
META;GRANADA;50313;INVIAS-OTROS;San Juan de Arama-Granada;93;11;3.435439;-73.762426;2.403517;0.016238;
HUILA;SUAZA;41770;INVIAS-OTROS;Florencia - Guayabal - Altamira;5;10;1.984003;-75.79456;2.10757;0.035068;
HUILA;SUAZA;41770;INVIAS-OTROS;Florencia - Guayabal - Altamira;8;13;1.958148;-75.799874;2.995412;0.002741;
HUILA;SUAZA;41770;INVIAS-OTROS;Florencia - Guayabal - Altamira;28;10;1.824159;-75.80044;2.10757;0.035068;
CAQUETÁ;FLORENCIA;18001;INVIAS-OTROS;Florencia - Guayabal - Altamira;sd;6;1.625063;-75.612312;2.113062;0.034595;
CAQUETÁ;FLORENCIA;18001;INVIAS-OTROS;Florencia  - San Vicente del Caguán;sd;13;1.611408;-75.604107;2.77157;0.005579;
NARIÑO;LA UNIÓN;52399;INVIAS-OTROS;Pasto - La Unión - Mercaderes;89;13;1.598288;-77.131184;2.995412;0.002741;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;65;12;1.390962;-78.52431;2.699465;0.006945;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;61;10;1.401704;-78.567598;2.10757;0.035068;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;25;13;1.658525;-78.745214;2.995412;0.002741;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;19;11;1.700747;-78.768033;2.403517;0.016238;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;13;52;1.759821;-78.785521;14.537352;0;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;8;11;1.798587;-78.787178;6.329459;0;
NARIÑO;TUMACO;52835;INVIAS-OTROS;Tumaco-Pedregal;5;25;1.806879;-78.773299;6.329459;0;
NARIÑO;IPIALES;52356;INVIAS-OTROS;Ipiales - Aldana - Guachucal;2;4;0.828364;-77.65515;2.144165;0.03202;
NARIÑO;IPIALES;52356;INVIAS-OTROS;Ipiales - Aldana - Guachucal;24;15;0.829329;-77.639032;2.440202;0.014679;
NARIÑO;IPIALES;52356;ANI;Ipiales-Pedregal;0;21;0.833808;-77.601423;3.309362;0.000935;Rumichaca – Pasto
NARIÑO;IPIALES;52356;ANI;Puente Rumichaca-Ipiales;6;2;0.826163;-77.615641;3.258129;0.001121;Rumichaca – Pasto
NARIÑO;IPIALES;52356;ANI;Puente Rumichaca-Ipiales;3;8;0.821057;-77.639026;2.440202;0.014679;Rumichaca – Pasto
NARIÑO;IPIALES;52356;ANI;Puente Rumichaca-Ipiales;0;1;0.821702;-77.625752;2.868352;0.004126;Rumichaca – Pasto
NARIÑO;IPIALES;52356;ANI;Ipiales-Pedregal;10;5;0.844634;-77.588471;3.138462;0.001698;Rumichaca – Pasto
ARAUCA;TAME;81794;DEPTO;Yopal - Tame;sd;1;6.444969;-71.734549;2.143707;0.032056;
CÓRDOBA;MONTELÍBANO;23466;INVIAS-OTROS;Tierralta-Puerto Libertador-Montelíbano;sd;10;7.954895;-75.432629;2.10757;0.035068;
NORTE DE SANTANDER;TIBÚ;54810;INVIAS-OTROS;La Gloria- El Tarra-Campo Seis;sd;10;8.635917;-72.738802;2.980858;0.002874;
NORTE DE SANTANDER;TIBÚ;54810;DEPTO;La Gloria- El Tarra-Campo Seis;sd;10;8.637569;-72.728412;2.292183;0.021895;
SANTANDER;RIONEGRO;68615;DEPTO;San Alberto - Bucaramanga;14;15;7.251126;-73.149176;3.587306;0.000334;
TOLIMA;FLANDES;73275;ANI;Neiva-Girardot;50;23;4.209663;-74.852622;5.954884;0;IP  –  Neiva – Espinal - Girardot
ANTIOQUIA;APARTADÓ;5045;ANI;Chigorodó-Turbo;30;15;7.873917;-76.635127;3.587306;0.000334;Autopistas al Mar 2
CESAR;EL PASO;20250;ANI;Bosconia - Cienaga;62;12;9.780252;-73.748405;2.699465;0.006945;Ruta del Sol 3
ANTIOQUIA;TURBO;5837;ANI;Chigorodó-Turbo;16;25;8.005361;-76.640697;6.546778;0;Autopistas al Mar 2
MAGDALENA;ALGARROBO;47030;ANI;Bosconia - Cienaga;8;11;10.31016;-74.046928;2.403517;0.016238;Ruta del Sol 3
CÓRDOBA;COTORRA;23300;ANI;San Pelayo-Lorica;25;12;9.030229;-75.827469;2.699465;0.006945;IP – Antioquia – Bolívar
TOLIMA;COYAIMA;73217;ANI;Neiva-Girardot;97;19;3.728237;-75.078416;4.771095;0.0000020;IP  –  Neiva – Espinal - Girardot
