departamento;municipio;divipola;entidad;tramo;pr;fallecidos;latitud;longitud;gizscore;gipvalue;nombre
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;10;6.34504;-75.527145;3.258129;0.001121;
ANTIOQUIA;BELLO;5088;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;8;6.347716;-75.520433;5.992653;0;
ANTIOQUIA;COPACABANA;5212;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;29;6.351463;-75.510076;5.531061;0;
ANTIOQUIA;COPACABANA;5212;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;4;6.356767;-75.500166;4.505661;0.0000070;
ANTIOQUIA;GIRARDOTA;5308;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;1;6.390938;-75.445768;1.942162;0.052117;
ANTIOQUIA;GIRARDOTA;5308;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;13;6.397619;-75.436746;2.283962;0.022374;
ANTIOQUIA;GIRARDOTA;5308;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;8;6.405591;-75.426525;2.796662;0.005163;
ANTIOQUIA;BARBOSA;5079;DEPTO;El Hatillo - Girardota - Copacabana - Bello - Med*;sd;4;6.411562;-75.415101;1.771262;0.076517;
ANTIOQUIA;BARBOSA;5079;DEPTO;;9;10;6.433996;-75.337423;2.10757;0.035068;
ANTIOQUIA;GUARNE;5318;ANI;Medellín - Santuario;27;6;6.248448;-75.424514;1.848127;0.064584;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;GUARNE;5318;ANI;Medellín - Santuario;25;5;6.252809;-75.429236;1.771262;0.076517;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;COPACABANA;5212;ANI;Medellín - Santuario;15;5;6.32795;-75.480226;2.33129;0.019738;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;COPACABANA;5212;ANI;Medellín - Santuario;15;1;6.328481;-75.48361;2.33129;0.019738;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;BELLO;5088;ANI;Medellín - Santuario;2;9;6.323438;-75.539697;2.019913;0.043392;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;BELLO;5088;ANI;Medellín - Santuario;1;1;6.322096;-75.544771;4.074447;0.000046;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;BELLO;5088;ANI;Medellín - Santuario;1;1;6.31862;-75.546815;3.766984;0.000165;Desarrollo Vial del Oriente de Medellín – DEVIMED
ANTIOQUIA;BELLO;5088;ANI;Medellín - Santuario;0;4;6.313718;-75.548768;4.057085;0.000050;Desarrollo Vial del Oriente de Medellín – DEVIMED
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;Buga- La Victoria;21;11;4.316067;-76.070563;2.403517;0.016238;
VALLE DEL CAUCA;ZARZAL;76895;DEPTO;Buga- La Victoria;26;16;4.357573;-76.068876;3.883253;0.000103;
VALLE DEL CAUCA;CARTAGO;76147;INVIAS-OTROS;Viterbo-Ansermanuevo;sd;17;4.744053;-75.911907;2.781367;0.005413;
VALLE DEL CAUCA;CARTAGO;76147;INVIAS-OTROS;La Victoria-La Virginia;76;1;4.735231;-75.903363;1.777049;0.07556;
VALLE DEL CAUCA;CARTAGO;76147;INVIAS-OTROS;;2;2;4.73792;-75.898956;1.662108;0.096491;
VALLE DEL CAUCA;ANDALUCÍA;76036;DEPTO;Buga- La Victoria;0;19;4.168398;-76.173499;4.771095;0.0000020;
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;Buga- La Victoria;87;17;4.037479;-76.210181;4.179201;0.000029;
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;Buga- La Victoria;82;23;4.000509;-76.229883;5.954884;0;
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;Buga- La Victoria;78;9;3.975317;-76.248638;2.143707;0.032056;
VALLE DEL CAUCA;SAN PEDRO;76670;DEPTO;Buga- La Victoria;sd;7;3.964974;-76.261151;3.651162;0.000261;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;75;14;3.952215;-76.27109;4.334761;0.000015;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;73;13;3.938814;-76.279742;4.163861;0.000031;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;71;6;3.928157;-76.28615;2.967562;0.003002;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;70;7;3.921209;-76.29417;2.113062;0.034595;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;68;8;3.909898;-76.306519;2.283962;0.022374;
VALLE DEL CAUCA;BUGA;76111;DEPTO;Buga- La Victoria;118;7;3.897147;-76.312121;1.848127;0.064584;
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;Loboguerrero - Buga;117;7;3.891756;-76.317133;2.198885;0.027886;
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;Candelaria-Buga;59;19;3.835801;-76.302609;4.771095;0.0000020;
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;Candelaria-Buga;55;18;3.785473;-76.319112;4.655158;0.0000030;
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;Candelaria-Buga;53;10;3.770634;-76.326015;4.655158;0.0000030;
VALLE DEL CAUCA;GUACARÍ;76318;INVIAS-OTROS;Candelaria-Buga;49;10;3.745999;-76.324502;2.10757;0.035068;
VALLE DEL CAUCA;EL CERRITO;76248;INVIAS-OTROS;Candelaria-Buga;42;8;3.684455;-76.307218;1.942162;0.052117;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;Cali - Palmira;13;27;3.517906;-76.366127;7.138672;0;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;Cali - Palmira;9;20;3.507193;-76.413909;5.067042;0;
VALLE DEL CAUCA;PALMIRA;76520;INVIAS-OTROS;;sd;5;3.551248;-76.477194;1.771262;0.076517;
VALLE DEL CAUCA;CALI;76001;INVIAS-OTROS;Cali-Dagua;sd;7;3.451146;-76.539785;2.562283;0.010399;
VALLE DEL CAUCA;CALI;76001;INVIAS-OTROS;Cali-Dagua;sd;11;3.452461;-76.553232;1.771262;0.076517;
VALLE DEL CAUCA;CALI;76001;INVIAS-OTROS;Cali-Dagua;sd;1;3.451813;-76.566716;2.454862;0.014094;
VALLE DEL CAUCA;CALI;76001;INVIAS-OTROS;Cali-Dagua;sd;11;3.45358;-76.571696;1.771262;0.076517;
VALLE DEL CAUCA;CALI;76001;INVIAS-OTROS;Cali-Dagua;9;7;3.461738;-76.585255;2.625762;0.008646;
VALLE DEL CAUCA;DAGUA;76233;INVIAS-OTROS;Cali-Dagua;48;5;3.659968;-76.687838;1.93442;0.053062;
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;Buenaventura-Citronela;16;9;3.886307;-76.957788;2.283962;0.022374;
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;Buenaventura-Citronela;15;6;3.877498;-76.969294;2.283962;0.022374;
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;Buenaventura-Citronela;12;7;3.870116;-76.980122;3.822062;0.000132;
VALLE DEL CAUCA;BUENAVENTURA;76109;INVIAS-OTROS;Buenaventura-Citronela;12;18;3.867071;-76.989767;4.027295;0.000056;
VALLE DEL CAUCA;BUGA;76111;INVIAS-OTROS;Loboguerrero - Buga;117;11;3.892281;-76.330593;2.113062;0.034595;
CESAR;AGUACHICA;20011;INVIAS-OTROS;Aguachica  - San Roque;67;19;8.317272;-73.59724;4.771095;0.0000020;
CESAR;LA GLORIA;20383;INVIAS-OTROS;Aguachica  - San Roque;1;18;8.615513;-73.635588;4.475148;0.0000080;
CESAR;PELAYA;20550;INVIAS-OTROS;Aguachica  - San Roque;9;14;8.678751;-73.655793;3.291359;0.000997;
CESAR;BOSCONIA;20060;ANI;Carmen de Bolívar-Bosconia;22;11;9.955669;-73.917679;2.403517;0.016238;Ruta del Sol 3
CESAR;BOSCONIA;20060;ANI;Bosconia - Cienaga;84;16;9.93861;-73.862205;3.883253;0.000103;Ruta del Sol 3
CESAR;EL PASO;20250;ANI;San Roque - Bosconia;38;9;9.607065;-73.612902;1.811623;0.070044;Ruta del Sol 3
CESAR;CURUMANÍ;20228;ANI;San Roque - Bosconia;4;10;9.319363;-73.516691;2.10757;0.035068;Ruta del Sol 3
CESAR;CURUMANÍ;20228;INVIAS-OTROS;Aguachica  - San Roque;79;9;9.212012;-73.526195;1.811623;0.070044;
CESAR;PAILITAS;20517;INVIAS-OTROS;Aguachica  - San Roque;45;10;8.988073;-73.629476;2.10757;0.035068;
CESAR;PAILITAS;20517;INVIAS-OTROS;Aguachica  - San Roque;37;23;8.91766;-73.642138;5.954884;0;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;14;7;3.597351;-76.483492;1.848127;0.064584;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;13;5;3.591317;-76.483483;3.655345;0.000257;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;13;10;3.585137;-76.484617;4.449778;0.0000090;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;11;18;3.577806;-76.486178;4.582184;0.0000050;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;10;8;3.5689;-76.485162;4.317373;0.000016;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;8;8;3.563146;-76.489157;3.714522;0.000204;
VALLE DEL CAUCA;YUMBO;76892;INVIAS-OTROS;Yumbo - Yotoco - Buga;8;3;3.559836;-76.492298;1.996146;0.045918;
TOLIMA;ESPINAL;73268;ANI;Neiva-Girardot;3;19;4.150533;-74.888622;4.334761;0.000015;IP  –  Neiva – Espinal - Girardot
CESAR;CURUMANÍ;20228;INVIAS-OTROS;San Roque-La Paz;6;9;9.326617;-73.488783;1.811623;0.070044;
CESAR;SAN DIEGO;20750;INVIAS-OTROS;San Roque-La Paz;128;19;10.289912;-73.206808;4.771095;0.0000020;
CESAR;VALLEDUPAR;20001;CIUDAD;;sd;12;10.46437;-73.253769;2.699465;0.006945;
LA GUAJIRA;FONSECA;44279;INVIAS-OTROS;La Paz - Maicao;6;10;10.890788;-72.842541;2.10757;0.035068;
LA GUAJIRA;MAICAO;44430;ANI;Santa Marta-Maicao-Paraguachón;81;23;11.371088;-72.191169;5.954884;0;Santa Marta - Paraguachón
LA GUAJIRA;MANAURE;44560;ANI;Santa Marta-Maicao-Paraguachón;15;11;11.506861;-72.76381;2.403517;0.016238;Santa Marta - Paraguachón
LA GUAJIRA;RIOHACHA;44001;ANI;Santa Marta-Maicao-Paraguachón;88;17;11.519362;-72.954554;4.179201;0.000029;Santa Marta - Paraguachón
LA GUAJIRA;DIBULLA;44090;ANI;Santa Marta-Maicao-Paraguachón;50;10;11.258772;-73.160237;2.10757;0.035068;Santa Marta - Paraguachón
LA GUAJIRA;DIBULLA;44090;ANI;Santa Marta-Maicao-Paraguachón;42;11;11.229646;-73.224032;2.403517;0.016238;Santa Marta - Paraguachón
MAGDALENA;SANTA MARTA;47001;ANI;Santa Marta-Maicao-Paraguachón;48;9;11.248769;-73.779344;1.811623;0.070044;Santa Marta - Paraguachón
MAGDALENA;SANTA MARTA;47001;ANI;Santa Marta-Maicao-Paraguachón;16;12;11.276734;-74.039509;2.699465;0.006945;Santa Marta - Paraguachón
MAGDALENA;CIÉNAGA;47189;DEPTO;Cienaga - Barranquilla;62;26;11.00709;-74.237504;6.842725;0;
MAGDALENA;CIÉNAGA;47189;ANI;Bosconia - Cienaga;96;16;10.982643;-74.194628;3.883253;0.000103;Ruta del Sol 3
MAGDALENA;PUEBLOVIEJO;47570;DEPTO;Cienaga - Barranquilla;56;11;10.993441;-74.28516;2.403517;0.016238;
MAGDALENA;ZONA BANANERA;47980;ANI;Bosconia - Cienaga;86;10;10.893418;-74.15375;2.10757;0.035068;Ruta del Sol 3
MAGDALENA;ZONA BANANERA;47980;ANI;Bosconia - Cienaga;54;12;10.654616;-74.162503;2.699465;0.006945;Ruta del Sol 3
CESAR;BOSCONIA;20060;ANI;Bosconia - Cienaga;5;9;10.027275;-73.911137;1.811623;0.070044;Ruta del Sol 3
MAGDALENA;PUEBLOVIEJO;47570;DEPTO;Cienaga - Barranquilla;50;10;10.974471;-74.342166;2.10757;0.035068;
MAGDALENA;SITIONUEVO;47745;DEPTO;Cienaga - Barranquilla;12;11;11.00656;-74.671399;2.403517;0.016238;
ATLÁNTICO;SOLEDAD;8758;ANI;Barranquilla - Malambo - Palmar de Varela;78;35;10.920684;-74.775729;9.50625;0;Ruta Caribe
ATLÁNTICO;PUERTO COLOMBIA;8573;ANI;Barranquilla - Cartagena;104;9;11.013682;-74.880656;1.811623;0.070044;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”
BOLÍVAR;CARTAGENA DE INDIAS;13001;ANI;Barranquilla - Cartagena;12;9;10.543179;-75.460686;1.811623;0.070044;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”
BOLÍVAR;TURBACO;13836;ANI;Sincerin - Arjona - Turbaco - Cartagena;92;10;10.338313;-75.418314;2.796662;0.005163;Ruta Caribe
BOLÍVAR;TURBACO;13836;ANI;Sincerin - Arjona - Turbaco - Cartagena;92;10;10.332981;-75.410213;2.980858;0.002874;Ruta Caribe
BOLÍVAR;SANTA CATALINA;13673;ANI;Cartagena-Barranquilla (Cordialidad);29;10;10.596021;-75.294129;2.10757;0.035068;Ruta Caribe
ATLÁNTICO;MALAMBO;8433;INVIAS-OTROS;;72;4;10.863689;-74.778801;5.872861;0;
ATLÁNTICO;MALAMBO;8433;ANI;Barranquilla - Malambo - Palmar de Varela;71;33;10.852572;-74.77184;6.538746;0;Ruta Caribe
ATLÁNTICO;SANTO TOMÁS;8685;ANI;Barranquilla - Malambo - Palmar de Varela;62;14;10.771084;-74.75912;3.291359;0.000997;Ruta Caribe
ATLÁNTICO;SANTO TOMÁS;8685;ANI;Barranquilla - Malambo - Palmar de Varela;58;12;10.748465;-74.757868;2.699465;0.006945;Ruta Caribe
ATLÁNTICO;PONEDERA;8560;ANI;Carreto - Barranquilla;46;11;10.646053;-74.760489;2.403517;0.016238;Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso
ATLÁNTICO;PONEDERA;8560;ANI;Carreto - Barranquilla;38;10;10.571941;-74.791658;2.10757;0.035068;Puerta de Hierro – Palmar de Varela y Carreto – Cruz del Viso
BOLÍVAR;MAHATES;13433;ANI;Carreto-Cartagena;60;11;10.136478;-75.25549;2.403517;0.016238;Ruta Caribe
BOLÍVAR;ARJONA;13052;ANI;Sincerin - Arjona - Turbaco - Cartagena;78;11;10.250748;-75.34756;2.403517;0.016238;Ruta Caribe
SUCRE;COVEÑAS;70221;INVIAS-OTROS;;3;11;9.380651;-75.682601;2.403517;0.016238;
CÓRDOBA;COTORRA;23300;ANI;San Pelayo-Lorica;25;10;9.030229;-75.827469;2.10757;0.035068;IP – Antioquia – Bolívar
CÓRDOBA;CERETÉ;23162;ANI;Cereté - San Pelayo;13;43;8.920309;-75.812669;11.873827;0;IP – Antioquia – Bolívar
CÓRDOBA;MONTERÍA;23001;ANI;Arboletes-Montería;60;1;8.781073;-75.894108;1.93442;0.053062;IP – Antioquia – Bolívar
ANTIOQUIA;TURBO;5837;ANI;Chigorodó-Turbo;6;11;8.076931;-76.673802;2.403517;0.016238;Autopistas al Mar 2
ANTIOQUIA;TURBO;5837;ANI;Chigorodó-Turbo;16;30;8.005361;-76.640697;8.026514;0;Autopistas al Mar 2
ANTIOQUIA;APARTADÓ;5045;ANI;Chigorodó-Turbo;30;24;7.873917;-76.635127;6.250831;0;Autopistas al Mar 2
ANTIOQUIA;APARTADÓ;5045;ANI;Chigorodó-Turbo;40;20;7.795214;-76.653741;5.067042;0;Autopistas al Mar 2
ANTIOQUIA;CAREPA;5147;ANI;Chigorodó-Turbo;48;24;7.724083;-76.667336;6.250831;0;Autopistas al Mar 2
ANTIOQUIA;CHIGORODÓ;5172;ANI;Chigorodó-Turbo;53;3;7.676232;-76.678499;2.352995;0.018623;Autopistas al Mar 2
ANTIOQUIA;CHIGORODÓ;5172;ANI;Santafé de Antioquía - Chigorodó;0;14;7.666802;-76.677201;2.352995;0.018623;Autopistas al Mar 2
ANTIOQUIA;CHIGORODÓ;5172;ANI;Santafé de Antioquía - Chigorodó;6;16;7.619732;-76.649909;3.883253;0.000103;Autopistas al Mar 2
CÓRDOBA;MOMIL;23464;INVIAS-OTROS;Lorica - Chinú;19;9;9.236171;-75.64841;1.811623;0.070044;
CÓRDOBA;SAHAGÚN;23660;ANI;Planeta Rica - Sincelejo;72;4;8.957414;-75.453161;1.942162;0.052117;Córdoba – Sucre
CÓRDOBA;CIÉNAGA DE ORO;23189;ANI;Montería-La Ye;14;9;8.879113;-75.662968;1.811623;0.070044;Córdoba – Sucre
CÓRDOBA;CIÉNAGA DE ORO;23189;ANI;Montería-La Ye;8;16;8.885013;-75.720018;3.883253;0.000103;Córdoba – Sucre
CÓRDOBA;CERETÉ;23162;ANI;Montería-La Ye;4;6;8.887841;-75.752688;2.143707;0.032056;Córdoba – Sucre
CÓRDOBA;MONTERÍA;23001;ANI;Montería-La Ye;sd;13;8.831702;-75.834453;2.995412;0.002741;Córdoba – Sucre
CÓRDOBA;MONTERÍA;23001;ANI;Arboletes-Montería;63;1;8.753386;-75.895939;1.93442;0.053062;IP – Antioquia – Bolívar
CÓRDOBA;MONTERÍA;23001;ANI;Planeta Rica - Montería;41;29;8.694844;-75.818022;7.730567;0;IP – Antioquia – Bolívar
CÓRDOBA;MONTERÍA;23001;ANI;Planeta Rica - Montería;29;15;8.601799;-75.737804;3.587306;0.000334;IP – Antioquia – Bolívar
SUCRE;SINCELEJO;70001;ANI;Planeta Rica - Sincelejo;sd;30;9.29113;-75.389608;8.026514;0;Córdoba – Sucre
SUCRE;SINCELEJO;70001;ANI;Sincelejo - Toluviejo;sd;5;9.290947;-75.411936;1.996146;0.045918;Córdoba – Sucre
SUCRE;SINCELEJO;70001;ANI;Sincelejo - Toluviejo;sd;11;9.302744;-75.4129;1.942162;0.052117;Córdoba – Sucre
