departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
CUNDINAMARCA;MADRID;25430;ANI;54;2;Muy Bajo;4.761372;-74.308949
SANTANDER;CIMITARRA;68190;ANI;114;2;Muy Bajo;6.485796;-74.275131
CUNDINAMARCA;MOSQUERA;25473;ANI;64;2;Muy Bajo;4.718886;-74.238911
MAGDALENA;SANTA MARTA;47001;DEPTO;sd;4;Muy Bajo;11.160221;-74.225178
MAGDALENA;SANTA MARTA;47001;DEPTO;sd;12;Bajo;11.107435;-74.221343
MAGDALENA;SANTA MARTA;47001;DEPTO;75;7;Bajo;11.093335;-74.216055
MAGDALENA;SANTA MARTA;47001;DEPTO;sd;2;Muy Bajo;11.113444;-74.213677
MAGDALENA;CIÉNAGA;47189;DEPTO;73;8;Bajo;11.077011;-74.213322
MAGDALENA;SANTA MARTA;47001;DEPTO;sd;2;Muy Bajo;11.145802;-74.211445
MAGDALENA;CIÉNAGA;47189;DEPTO;71;4;Muy Bajo;11.061774;-74.207583
MAGDALENA;CIÉNAGA;47189;DEPTO;69;5;Muy Bajo;11.047148;-74.204235
MAGDALENA;CIÉNAGA;47189;DEPTO;69;4;Muy Bajo;11.03272;-74.204064
MAGDALENA;ARIGUANÍ (El Dificil);47058;ANI;77;3;Muy Bajo;9.865008;-74.198399
SANTANDER;CIMITARRA;68190;INVIAS-OTROS;51;2;Muy Bajo;6.487169;-74.192219
MAGDALENA;ARACATACA;47053;ANI;6;3;Muy Bajo;10.58271;-74.166899
MAGDALENA;ARACATACA;47053;ANI;1;6;Muy Bajo;10.546146;-74.162908
MAGDALENA;ZONA BANANERA;47980;ANI;88;3;Muy Bajo;10.923872;-74.161434
MAGDALENA;ZONA BANANERA;47980;ANI;54;3;Muy Bajo;10.663476;-74.160977
MAGDALENA;FUNDACIÓN;47288;ANI;30;2;Muy Bajo;10.47864;-74.15926
MAGDALENA;ZONA BANANERA;47980;ANI;58;2;Muy Bajo;10.685063;-74.15205
MAGDALENA;FUNDACIÓN;47288;ANI;28;7;Bajo;10.466838;-74.1509
MAGDALENA;ZONA BANANERA;47980;ANI;60;2;Muy Bajo;10.698624;-74.143982
MAGDALENA;ZONA BANANERA;47980;ANI;62;2;Muy Bajo;10.716133;-74.134026
MAGDALENA;ZONA BANANERA;47980;ANI;78;2;Muy Bajo;10.845051;-74.130592
MAGDALENA;FUNDACIÓN;47288;ANI;24;5;Muy Bajo;10.430503;-74.128218
MAGDALENA;ZONA BANANERA;47980;ANI;64;7;Bajo;10.736966;-74.11914
MAGDALENA;ZONA BANANERA;47980;ANI;76;4;Muy Bajo;10.820031;-74.117375
MAGDALENA;ZONA BANANERA;47980;ANI;73;3;Muy Bajo;10.804067;-74.109478
MAGDALENA;FUNDACIÓN;47288;ANI;18;5;Muy Bajo;10.387865;-74.104466
MAGDALENA;FUNDACIÓN;47288;ANI;17;4;Muy Bajo;10.372338;-74.093514
SANTANDER;CIMITARRA;68190;INVIAS-OTROS;63;2;Muy Bajo;6.524763;-74.092999
MAGDALENA;ALGARROBO;47030;ANI;12;5;Muy Bajo;10.341783;-74.068794
MAGDALENA;ALGARROBO;47030;ANI;10;3;Muy Bajo;10.322771;-74.056006
MAGDALENA;ALGARROBO;47030;ANI;6;3;Muy Bajo;10.305262;-74.044132
MAGDALENA;ALGARROBO;47030;ANI;4;5;Muy Bajo;10.286865;-74.031573
MAGDALENA;ALGARROBO;47030;ANI;2;5;Muy Bajo;10.261503;-74.014607
CUNDINAMARCA;CAJICÁ;25126;ANI;sd;3;Muy Bajo;4.927626;-74.011402
CUNDINAMARCA;CAJICÁ;25126;ANI;18;2;Muy Bajo;4.958868;-74.01043
SANTANDER;CIMITARRA;68190;INVIAS-OTROS;75;3;Muy Bajo;6.591826;-74.010143
CUNDINAMARCA;CAJICÁ;25126;ANI;sd;3;Muy Bajo;4.980498;-74.003391
CESAR;EL COPEY;20238;ANI;32;5;Muy Bajo;10.243704;-74.002155
CUNDINAMARCA;SOPÓ;25758;ANI;13;3;Muy Bajo;4.912605;-74.000559
CUNDINAMARCA;ZIPAQUIRÁ;25899;ANI;23;8;Bajo;4.997921;-73.99601
CESAR;EL COPEY;20238;ANI;31;6;Muy Bajo;10.229531;-73.993206
SANTANDER;PUERTO PARRA;68573;INVIAS-OTROS;79;2;Muy Bajo;6.612225;-73.988114
CESAR;EL COPEY;20238;ANI;29;3;Muy Bajo;10.215025;-73.984051
CUNDINAMARCA;SOPÓ;25758;ANI;18;5;Muy Bajo;4.939093;-73.970226
CUNDINAMARCA;COGUA;25200;INVIAS-OTROS;sd;4;Muy Bajo;5.043583;-73.966885
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;3;2;Muy Bajo;9.032135;-73.964939
CESAR;EL COPEY;20238;ANI;23;3;Muy Bajo;10.165587;-73.961849
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;5;6;Muy Bajo;9.052327;-73.959274
CUNDINAMARCA;LA CALERA;25377;ANI;17;2;Muy Bajo;4.76841;-73.959274
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;9;6;Muy Bajo;9.077397;-73.95155
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;sd;7;Bajo;8.999139;-73.951452
CESAR;EL COPEY;20238;ANI;18;3;Muy Bajo;10.130682;-73.947201
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;11;6;Muy Bajo;9.092446;-73.9468
CESAR;EL COPEY;20238;ANI;16;8;Bajo;10.111714;-73.942074
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;13;14;Bajo;9.108022;-73.940289
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;3;10;Bajo;8.990965;-73.936773
CESAR;EL COPEY;20238;ANI;13;2;Muy Bajo;10.090943;-73.93507
CESAR;EL COPEY;20238;ANI;13;6;Muy Bajo;10.074721;-73.928933
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;15;12;Bajo;9.121622;-73.927223
SANTANDER;PUERTO PARRA;68573;INVIAS-OTROS;89;2;Muy Bajo;6.673079;-73.923226
CUNDINAMARCA;NEMOCÓN;25486;INVIAS-OTROS;38;3;Muy Bajo;5.090075;-73.922825
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;5;4;Muy Bajo;8.983083;-73.921423
CESAR;BOSCONIA;20060;ANI;10;4;Muy Bajo;10.051403;-73.920307
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;17;8;Bajo;9.143053;-73.916261
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;21;10;Bajo;9.185193;-73.911875
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;19;9;Bajo;9.162842;-73.909536
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;24;7;Bajo;9.202068;-73.909321
CESAR;BOSCONIA;20060;ANI;5;5;Muy Bajo;10.023365;-73.909035
CESAR;ASTREA;20032;INVIAS-OTROS;0;2;Muy Bajo;9.558792;-73.907948
MAGDALENA;SANTA MARTA;47001;ANI;32;4;Muy Bajo;11.282487;-73.905544
CESAR;BOSCONIA;20060;ANI;4;2;Muy Bajo;10.009575;-73.903656
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;7;10;Bajo;8.983155;-73.90327
CESAR;ASTREA;20032;INVIAS-OTROS;68;10;Bajo;9.518352;-73.899408
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;27;3;Muy Bajo;9.226542;-73.894444
CESAR;ASTREA;20032;INVIAS-OTROS;2;4;Muy Bajo;9.577031;-73.8937
CESAR;BOSCONIA;20060;ANI;2;2;Muy Bajo;9.984684;-73.893528
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;57;5;Muy Bajo;9.417622;-73.892541
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;59;8;Bajo;9.432535;-73.890481
CESAR;ASTREA;20032;INVIAS-OTROS;67;6;Muy Bajo;9.506035;-73.889237
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;53;4;Muy Bajo;9.397001;-73.888808
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;51;10;Bajo;9.377443;-73.887756
SANTANDER;PUERTO PARRA;68573;INVIAS-OTROS;95;3;Muy Bajo;6.708727;-73.883801
CESAR;ASTREA;20032;INVIAS-OTROS;65;13;Bajo;9.48969;-73.883739
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;10;7;Bajo;8.982289;-73.883114
CESAR;ASTREA;20032;INVIAS-OTROS;61;7;Bajo;9.449158;-73.882485
CESAR;ASTREA;20032;INVIAS-OTROS;63;13;Bajo;9.468942;-73.880506
CESAR;ASTREA;20032;INVIAS-OTROS;6;3;Muy Bajo;9.594841;-73.878422
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;29;8;Bajo;9.239931;-73.876834
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;47;6;Muy Bajo;9.341898;-73.874989
CESAR;BOSCONIA;20060;ANI;84;9;Bajo;9.94958;-73.87064
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;11;5;Muy Bajo;8.979487;-73.86723
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;31;7;Bajo;9.248944;-73.863774
MAGDALENA;SANTA MARTA;47001;ANI;38;7;Bajo;11.271818;-73.862509
CESAR;BOSCONIA;20060;ANI;84;5;Muy Bajo;9.935915;-73.861668
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;20;8;Bajo;8.912653;-73.856243
CESAR;ASTREA;20032;INVIAS-OTROS;8;3;Muy Bajo;9.607716;-73.855934
MAGDALENA;EL BANCO;47245;INVIAS-OTROS;13;4;Muy Bajo;8.973427;-73.855419
CESAR;BOSCONIA;20060;ANI;30;9;Bajo;9.991341;-73.855019
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;18;3;Muy Bajo;8.93157;-73.854733
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;41;3;Muy Bajo;9.307738;-73.852101
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;33;7;Bajo;9.259479;-73.851113
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;17;4;Muy Bajo;8.943901;-73.849325
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;37;3;Muy Bajo;9.279928;-73.847637
MAGDALENA;SANTA MARTA;47001;ANI;40;5;Muy Bajo;11.258004;-73.847394
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;15;5;Muy Bajo;8.957926;-73.845532
SANTANDER;SIMACOTA;68745;INVIAS-OTROS;101;2;Muy Bajo;6.753674;-73.845463
CESAR;BOSCONIA;20060;ANI;80;7;Bajo;9.907823;-73.843403
CESAR;TAMALAMEQUE;20787;INVIAS-OTROS;23;2;Muy Bajo;8.890686;-73.842545
CESAR;BOSCONIA;20060;ANI;32;10;Bajo;9.993267;-73.841286
CESAR;CHIMICHAGUA;20175;INVIAS-OTROS;37;5;Muy Bajo;9.267054;-73.840588
