departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
CESAR;RIO DE ORO;20614;INVIAS-OTROS;41;2;Muy Bajo;8.110056;-73.569431
BOYACÁ;SÁCHICA;15638;INVIAS-OTROS;37;2;Muy Bajo;5.619335;-73.568402
CESAR;CHIRIGUANÁ;20178;ANI;24;2;Muy Bajo;9.495707;-73.568402
CESAR;CHIRIGUANÁ;20178;ANI;22;3;Muy Bajo;9.480257;-73.563709
CESAR;VALLEDUPAR;20001;ANI;71;8;Bajo;10.198896;-73.560848
CESAR;CHIRIGUANÁ;20178;ANI;20;2;Muy Bajo;9.467211;-73.55999
CESAR;CHIRIGUANÁ;20178;ANI;20;3;Muy Bajo;9.454451;-73.556156
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;50;3;Muy Bajo;7.507754;-73.555813
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;48;4;Muy Bajo;7.488599;-73.553896
SANTANDER;SABANA DE TORRES;68655;INVIAS-OTROS;46;2;Muy Bajo;7.464094;-73.552094
CESAR;VALLEDUPAR;20001;ANI;73;11;Bajo;10.203931;-73.547811
